Formula,JARVIS-ID,spg_symbol,nwan,vqe_max_val(cm-1),vqe_min_val(cm-1),np_max_vals(cm-1),np_min_vals(cm-1)
NaAgO,JVASP-36254,F-43m,26,19.88664267,-0.052191627,19.96461295,-0.079541859
ZrGePt,JVASP-40796,F-43m,32,16.71066732,-2.418441704,16.79004439,-2.421753632
Li2MgHg,JVASP-39223,Fm-3m,30,15.09397618,-5.683429832,15.17530996,-5.689908963
MoS2,JVASP-51,R3m,24,17.25999992,2.39E-06,17.34187281,0
LiMgP,JVASP-40798,F-43m,18,16.88090454,-7.164992337,16.96625444,-7.166680401
Li2HgGe,JVASP-17400,Fm-3m,30,13.7318801,-5.966113537,13.82078615,-5.967094276
FeSiW,JVASP-40768,F-43m,32,19.127,-2.580293515,19.2302599,-2.598536827
LiMgSbPd,JVASP-15910,F-43m,30,15.29544672,-3.816557307,15.40590482,-3.868734792
LiScTl2,JVASP-41417,Fm-3m,30,12.53694758,-3.200424054,12.65049194,-3.228323121
ErSe,JVASP-14574,Fm-3m,24,24.43637233,-9.463275709,24.56980467,-9.484684826
GaReAs,JVASP-51313,F-43m,28,12.68093407,-7.429476097,12.8177738,-7.433711878
Li2SmIn,JVASP-39808,Fm-3m,28,11.09678356,-9.102818008,11.34012442,-9.110179528
Ta2H,JVASP-51345,P-4m2,26,12.57589558,-4.538402128,12.84641245,-4.553835696
